#LockIn1 SR830 Sensitivity: 1.000000E+0V
#Wait time:    aussen: 2.000 s    1.innen: 1.000 s    innen: 0.500 s
#Zaehler	SM XPS1	CHX	CHXErr	CHY	CHYErr	MessZeit(s)	ZeitproPunkt(s)
NaN	4.1000000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	2.0600000E-1	1.8670000E+0
NaN	4.1020000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2200000E-1	6.8800000E-1
NaN	4.1040000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	6.8300000E-1
NaN	4.1060000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1800000E-1	6.8500000E-1
NaN	4.1080000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1800000E-1	8.2200000E-1
NaN	4.1100000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	6.8300000E-1
NaN	4.1120000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1200000E-1	6.7900000E-1
NaN	4.1140000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	6.8300000E-1
NaN	4.1160000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1800000E-1	8.2100000E-1
NaN	4.1180000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2000000E-1	6.8700000E-1
NaN	4.1200000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1800000E-1	6.8500000E-1
NaN	4.1220000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2400000E-1	6.9100000E-1
NaN	4.1240000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	8.1800000E-1
NaN	4.1260000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	6.8400000E-1
NaN	4.1280000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1200000E-1	6.8000000E-1
NaN	4.1300000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.2000000E-1	6.8800000E-1
NaN	4.1320000E+0	7.9346100E-4	0.0000000E+0	0.0000000E+0	0.0000000E+0	1.1600000E-1	8.1900000E-1
